,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,dist,fk,g-xg,g/sh,g/sot,gls,pk,pkatt,sh,sot,sot%,np:g-xg,npxg,npxg/sh,year,team
43,2022-05-14,15:30,Bundesliga,Matchweek 34,Sat,Home,W,2.0,1.0,Freiburg,2.2,1.1,53.0,30210.0,Julian Baumgartlinger,4-4-2,Sven Jablonski,Match Report,,18.7,0.0,-0.2,0.18,0.67,2.0,0.0,0.0,11.0,3.0,27.3,-0.2,2.2,0.2,2021,Bayer Leverkusen
44,,,,,,,,,,,,,,,,,,,,16.5,13.0,18.4,0.15,0.38,96.0,4.0,8.0,607.0,243.0,40.0,19.9,72.1,0.13,2021,Bayer Leverkusen
0,2021-08-07,15:30,DFB-Pokal,Round of 64,Sat,Away,W,4,0,Sandhausen,,,73.0,4067.0,Péter Gulácsi,4-2-3-1,Daniel Schlager,Match Report,,,,,0.27,0.5,4.0,0.0,0.0,15.0,8.0,53.3,,,,2021,RB Leipzig
1,2021-08-15,15:30,Bundesliga,Matchweek 1,Sun,Away,L,0,1,Mainz 05,1.1,1.2,70.0,10500.0,Willi Orban,4-2-3-1,Daniel Siebert,Match Report,,15.4,1.0,-1.1,0.0,0.0,0.0,0.0,0.0,13.0,2.0,15.4,-1.1,1.1,0.09,2021,RB Leipzig
2,2021-08-20,20:30,Bundesliga,Matchweek 2,Fri,Home,W,4,0,Stuttgart,3.6,1.1,52.0,23100.0,Emil Forsberg,4-2-3-1,Florian Badstübner,Match Report,,16.9,2.0,0.4,0.11,0.27,4.0,1.0,1.0,27.0,11.0,40.7,0.1,2.9,0.12,2021,RB Leipzig
3,2021-08-29,17:30,Bundesliga,Matchweek 3,Sun,Away,L,0,1,Wolfsburg,1.1,0.8,52.0,12058.0,Péter Gulácsi,4-2-3-1,Tobias Stieler,Match Report,,19.8,1.0,-1.1,0.0,0.0,0.0,0.0,0.0,11.0,2.0,18.2,-1.1,1.1,0.11,2021,RB Leipzig
4,2021-09-11,18:30,Bundesliga,Matchweek 4,Sat,Home,L,1,4,Bayern Munich,0.5,3.9,52.0,34000.0,Péter Gulácsi,4-2-3-1,Deniz Aytekin,Match Report,,22.2,1.0,0.5,0.1,0.25,1.0,0.0,0.0,10.0,4.0,40.0,0.5,0.5,0.05,2021,RB Leipzig
5,2021-09-15,20:00,Champions Lg,Group stage,Wed,Away,L,3,6,eng Manchester City,1.3,2.3,50.0,38062.0,Péter Gulácsi,4-2-3-1,Serdar Gözübüyük,Match Report,,16.4,0.0,1.7,0.3,1.0,3.0,0.0,0.0,10.0,3.0,30.0,1.7,1.3,0.13,2021,RB Leipzig
6,2021-09-18,18:30,Bundesliga,Matchweek 5,Sat,Away,D,1,1,Köln,2.7,1.7,53.0,25000.0,Péter Gulácsi,4-2-3-1,Felix Brych,Match Report,,17.0,1.0,-1.7,0.05,0.11,1.0,0.0,0.0,19.0,9.0,47.4,-1.7,2.7,0.15,2021,RB Leipzig
7,2021-09-25,15:30,Bundesliga,Matchweek 6,Sat,Home,W,6,0,Hertha BSC,3.8,0.2,61.0,23500.0,Péter Gulácsi,3-4-3,Sascha Stegemann,Match Report,,14.7,1.0,2.2,0.29,0.63,6.0,1.0,1.0,17.0,8.0,47.1,2.0,3.0,0.18,2021,RB Leipzig
